********************************************************************************
product = Open Liberty 24.0.0.12 (wlp-1.0.96.cl241220241119-0657)
wlp.install.dir = /Users/ryotokatagiri/hands-on/liberty-app2-en/target/liberty/wlp/
java.home = /opt/homebrew/Cellar/openjdk@17/17.0.13/libexec/openjdk.jdk/Contents/Home
java.version = 17.0.13
java.runtime = OpenJDK Runtime Environment (17.0.13+0)
os = Mac OS X (15.1.1; aarch64) (ja_JP)
process = 4628@469510760noMacBook-Pro.local
Classpath = /Users/ryotokatagiri/hands-on/liberty-app2-en/target/liberty/wlp/bin/tools/ws-server.jar
Java Library path = /Users/ryotokatagiri/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.
********************************************************************************
[2024/12/17 17:45:47:320 JST] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           A CWWKE0001I: サーバー defaultServer が起動されました。
[2024/12/17 17:45:47:502 JST] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           I CWWKE0002I: カーネルは 0.281 秒 秒後に始動されました。
[2024/12/17 17:45:47:504 JST] 00000028 com.ibm.ws.kernel.feature.internal.FeatureManager            I CWWKF0007I: フィーチャー更新が開始しました。
[2024/12/17 17:45:47:811 JST] 0000001e com.ibm.ws.app.manager.internal.monitor.DropinMonitor        A CWWKZ0058I: アプリケーションの dropins をモニター中です。
[2024/12/17 17:45:47:992 JST] 0000002e com.ibm.ws.app.manager.AppMessageHelper                      I CWWKZ0018I: アプリケーション liberty01 を開始中です。
[2024/12/17 17:45:47:993 JST] 0000002e bm.ws.app.manager.war.internal.WARDeployedAppInfoFactoryImpl I CWWKZ0134I: liberty01 アプリケーションは /Users/ryotokatagiri/hands-on/liberty-app2-en/target/liberty/wlp/usr/servers/defaultServer/apps/liberty01.war.xml ロケーションにあるルーズ・アプリケーション定義を使用しています。
[2024/12/17 17:45:48:100 JST] 0000002e com.ibm.ws.session.WASSessionCore                            I SESN8501I: セッション・マネージャーが、永続ストレージ・ロケーションを検出しませんでした。HttpSession オブジェクトはローカル・アプリケーション・サーバーのメモリーに保管されます。
[2024/12/17 17:45:48:106 JST] 0000002e com.ibm.ws.webcontainer.osgi.webapp.WebGroup                 I SRVE0169I: Web モジュールをロード中: liberty01。
[2024/12/17 17:45:48:108 JST] 0000002e com.ibm.ws.webcontainer                                      I SRVE0250I: Web モジュール liberty01 は default_host にバインドされています。
[2024/12/17 17:45:48:108 JST] 0000002e com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Web アプリケーションが使用可能です (default_host): http://localhost:9080/liberty01/
[2024/12/17 17:45:48:147 JST] 00000032 com.ibm.ws.session.WASSessionCore                            I SESN0176I: アプリケーション・キー default_host/liberty01 に新しいセッション・コンテキストが作成されます。
